epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.201,0,51.7621,0,0,0,0,0,0,81.0907,0,0.000651515,0.000651515,0.000651515
2,147.324,0,39.0455,0,0,0,0,0,0,50.598,0,0.00129208,0.00129208,0.00129208
3,221.127,0,32.6828,0,0,0,0,0,0,39.3633,0,0.00190625,0.00190625,0.00190625
4,295.423,0,27.5871,0,0,0,0,0,0,101.314,0,0.0018812,0.0018812,0.0018812
5,370.234,0,23.1925,0,0,0,0,0,0,30.611,0,0.0018416,0.0018416,0.0018416
6,444.438,0,19.3611,0,0,0,0,0,0,24.016,0,0.001802,0.001802,0.001802
7,517.902,0,15.8652,0,0,0,0,0,0,22.263,0,0.0017624,0.0017624,0.0017624
8,590.252,0,12.9605,0,0,0,0,0,0,17.9323,0,0.0017228,0.0017228,0.0017228
9,663.053,0,10.4527,0,0,0,0,0,0,14.1689,0,0.0016832,0.0016832,0.0016832
10,737.031,0,8.38633,0,0,0,0,0,0,10.9284,0,0.0016436,0.0016436,0.0016436
11,809.577,0,6.6308,0,0,0,0,0,0,21.2567,0,0.001604,0.001604,0.001604
12,885.224,0,5.20606,0,0,0,0,0,0,6.93901,0,0.0015644,0.0015644,0.0015644
13,961.562,0,4.07607,0,0,0,0,0,0,5.26209,0,0.0015248,0.0015248,0.0015248
